city,lat,lng,iso2,population
Lubalo,-9.15445,19.28136,AO,26103
Luanda,-8.83682,13.23432,AO,2776168
Cunda diá Baze,-8.90769,17.05339,AO,15965
Golungo Alto,-9.13333,14.76667,AO,19992
Dondo,-9.68456,14.42788,AO,64643
Dondo,-9.05000,15.31667,AO,64643
Cuímba,-6.12085,14.62086,AO,41878
Cuilo,-8.23619,19.52566,AO,26577
Cuango-Luzamba,-9.14583,18.04453,AO,55000
Cazombo,-8.73204,15.37124,AO,34000
Caxito,-8.57848,13.66425,AO,55000
Cangandala,-9.78333,16.43333,AO,16232
Camabatela,-8.18812,15.37495,AO,21767
Cacuso,-9.42102,15.74668,AO,39302
Cabinda,-5.56198,12.19476,AO,550000
Buco Zau,-4.76667,12.55000,AO,40953
Belize,-4.65000,12.76667,AO,24430
Barra do Dande,-8.47175,13.37011,AO,75000
Bailundo,-9.57499,15.99442,AO,70481
Gama,-8.56750,13.47639,AO,66202
Cazenga,-8.83796,13.28399,AO,424528
Talatona,-8.91783,13.18562,AO,500000
Xangongo,-16.74440,14.97494,AO,35000
Alto Hama,-12.23333,15.55000,AO,17000
Virei,-15.72700,12.94961,AO,42607
Ucuma,-12.96121,15.05958,AO,21809
Ucu Seles,-11.41237,14.30663,AO,47421
Tômbua,-15.80394,11.84485,AO,46573
Sumbe,-11.20605,13.84371,AO,205832
Quipungo,-14.81909,14.53504,AO,23014
Quibala,-10.73366,14.97995,AO,27128
Porto Amboim,-10.73251,13.76844,AO,91605
Ondjiva,-17.06667,15.73333,AO,121537
Nharêa,-11.47512,16.96496,AO,18000
Mossamedes,-15.19611,12.15222,AO,255000
Mungo,-11.83268,16.23613,AO,21662
Menongue,-14.65850,17.69099,AO,251178
Matala,-14.73272,15.03479,AO,78000
Luquembo,-10.73912,17.71766,AO,69420
Luena,-11.78333,19.91667,AO,273675
Lubango,-14.91717,13.49250,AO,600751
Longonjo,-12.90795,15.24845,AO,23000
Londuimbali,-12.23712,15.31697,AO,17000
Lobito,-12.36440,13.53601,AO,357950
Cuíto,-12.38333,16.93333,AO,355423
Catchiungo,-12.56598,16.22589,AO,26974
Humbe,-16.68640,14.90317,AO,35985
Huambo,-12.77611,15.73917,AO,595304
Ganda,-13.01592,14.63502,AO,65000
Gabela,-10.85147,14.37993,AO,116903
Dombe Grande,-12.95167,13.10250,AO,25000
Cuemba,-12.15000,18.08333,AO,19995
Cubal,-13.03865,14.24550,AO,90367
Conda,-11.10862,14.33621,AO,21260
Chitembo,-13.55000,16.63333,AO,25000
Chinguar,-12.55708,16.33805,AO,26811
Cela,-11.42173,15.12345,AO,90000
Catumbela,-12.43002,13.54677,AO,95034
Catabola,-12.15000,17.28333,AO,28831
Capunda,-11.13333,14.46667,AO,21260
Camucuio,-14.11667,13.25000,AO,66112
Cambundi Catembo,-10.07531,17.55058,AO,17212
Camacupa,-12.01667,17.48333,AO,59000
Caluquembe,-13.86667,14.43333,AO,31000
Calulo,-10.00055,14.89519,AO,44000
Caála,-12.85250,15.56056,AO,130000
Bocoio,-12.47017,14.13688,AO,35000
Benguela,-12.57674,13.40268,AO,555124
Balombo,-12.35426,14.77232,AO,36361
Baía Farta,-12.60417,13.19667,AO,45000
Andulo,-11.48676,16.69663,AO,50000
Cambundi,-7.46856,17.03769,AO,17212
Cafunfo,-8.76720,17.99572,AO,90000
Santa Clara,-10.19156,15.43408,AO,29000
Quissecula,-11.39223,15.09201,AO,90000
Cambundi,-10.89481,17.76402,AO,17212
Ingombota,-8.81806,13.22889,AO,370000
Rangel,-8.82644,13.26285,AO,261000
Samba,-8.83801,-8.83801,AO,54000
Sambizanga,-8.78883,13.27506,AO,244000
Zárate,-34.09584,-59.02423,AR,99061
Colonia Wanda,-25.97337,-54.56304,AR,15529
Villa Ortúzar,-34.57973,-58.46829,AR,22500
Villa Ocampo,-28.48726,-59.35421,AR,19101
Villa Lugano,-34.67907,-58.47263,AR,114000
Villaguay,-31.86767,-59.02701,AR,32027
Villa Gesell,-37.26394,-56.97304,AR,23257
Villa de Mayo,-34.51080,-58.68059,AR,43405
Tortuguitas,-34.47513,-58.75367,AR,41390
Tigre,-34.42603,-58.57962,AR,31106
Tandil,-37.32870,-59.13690,AR,115877
San Vicente,-26.61667,-54.13333,AR,38247
Santo Tomé,-28.55104,-56.04125,AR,22634
Santos Lugares,-34.60306,-58.54074,AR,37267
Santa Elena,-30.94432,-59.78832,AR,18410
San Pedro,-33.67918,-59.66633,AR,47452
San Pedro,-26.62180,-54.10902,AR,23736
San Luis del Palmar,-27.50766,-58.55625,AR,15347
San Lorenzo,-28.13442,-58.76685,AR,47626
San Justo,-34.68107,-58.56379,AR,105274
San Javier,-30.58072,-59.92962,AR,15606
San Isidro,-34.46971,-58.52111,AR,45190
San Antonio de Padua,-34.66267,-58.69819,AR,37745
Saladillo,-35.63884,-59.77938,AR,35669
Saladas,-28.25504,-58.62386,AR,18349
Retiro,-34.58333,-58.38333,AR,38635
Resistencia,-27.46363,-58.98665,AR,290793
Reconquista,-29.15000,-59.65000,AR,90184
Quilmes,-34.72065,-58.25454,AR,262379
Puerto Rico,-26.80890,-55.02147,AR,17491
Puerto Iguazú,-25.59912,-54.57355,AR,32038
Puerto Esperanza,-26.02267,-54.61356,AR,15579
Puerto Eldorado,-26.40843,-54.69463,AR,54189
Posadas,-27.39184,-55.92379,AR,305874
Pontevedra,-34.74947,-58.70158,AR,33515
Pirané,-25.73271,-59.10989,AR,19124
Pilar,-34.45867,-58.91398,AR,81120
Paso de los Libres,-29.71251,-57.08771,AR,43805
Oberá,-27.48683,-55.11994,AR,56528
Nogoyá,-32.39375,-59.78955,AR,43195
Necochea,-38.55450,-58.73961,AR,73557
Muñiz,-34.55622,-58.70739,AR,26844
Morón,-34.65118,-58.62205,AR,99066
Monte Caseros,-30.25180,-57.63537,AR,24671
Montecarlo,-26.56849,-54.75790,AR,22229
Merlo,-34.66536,-58.72744,AR,268961
Mercedes,-34.65072,-59.43143,AR,63284
Mercedes,-29.18416,-58.07519,AR,30649
Haedo,-34.64239,-58.59212,AR,37745
Mar del Plata,-38.00042,-57.55620,AR,593337
Luján,-34.56640,-59.11478,AR,97363
Los Polvorines,-34.50316,-58.70596,AR,53354
Lomas de Zamora,-34.75740,-58.40279,AR,111897
La Plata,-34.92126,-57.95442,AR,195443
La Paz,-30.74179,-59.64517,AR,24716
Jardín América,-27.04346,-55.22698,AR,24905
Ituzaingó,-27.58504,-56.68707,AR,168419
Hurlingham,-34.59040,-58.62904,AR,60000
Gualeguaychú,-33.00777,-58.51836,AR,78676
Gualeguay,-33.14091,-59.31257,AR,33120
Goya,-29.13995,-59.26343,AR,70245
Gobernador Virasora,-28.05000,-56.03333,AR,28756
General Pacheco,-34.45256,-58.64312,AR,43287
General José de San Martín,-26.53643,-59.34138,AR,31758
Garupá,-27.48315,-55.82924,AR,28814
Formosa,-26.18489,-58.17313,AR,222226
Fontana,-27.42039,-59.03731,AR,26745
Federal,-30.95619,-58.77970,AR,16333
Ezeiza,-34.85440,-58.52474,AR,115021
Esquina,-30.01476,-59.52890,AR,26399
El Soberbio,-27.29662,-54.19811,AR,19571
El Palomar,-34.61771,-58.60153,AR,59031
Don Torcuato,-34.49459,-58.62729,AR,71356
Dolores,-36.31539,-57.67546,AR,25190
Curuzú Cuatiá,-29.79145,-58.04990,AR,36390
Corrientes,-27.46784,-58.83440,AR,346334
Concordia,-31.39195,-58.01706,AR,145210
Concepción del Uruguay,-32.48463,-58.23217,AR,67895
Colón,-32.22312,-58.14426,AR,58219
Colegiales,-34.57365,-58.44924,AR,57000
Chascomús,-35.57681,-58.01215,AR,47524
Chajarí,-30.75482,-57.98196,AR,30655
Castelar,-34.65142,-58.64074,AR,107786
Campana,-34.16327,-58.95919,AR,86860
Buenos Aires,-34.61315,-58.37723,AR,2891082
Boedo,-34.63333,-58.41667,AR,48231
Berazategui,-34.76531,-58.21278,AR,180523
Bella Vista,-34.56510,-58.69034,AR,79737
Belgrano,-34.56270,-58.45829,AR,138942
Barranqueras,-27.48132,-58.93925,AR,50823
Barracas,-34.64966,-58.38341,AR,77474
Balcarce,-37.84638,-58.25549,AR,38823
Azul,-36.77803,-59.85848,AR,53941
Ayacucho,-37.15276,-58.48838,AR,17364
Avellaneda,-29.11761,-59.65834,AR,23341
Aristóbulo del Valle,-27.09571,-54.89344,AR,20683
Apóstoles,-27.91421,-55.75355,AR,26710
Zapala,-38.90056,-70.06674,AR,31534
Yerba Buena,-26.81298,-65.29543,AR,50783
Villa Regina,-39.09631,-67.08374,AR,31209
Villa Paula de Sarmiento,-31.49330,-68.53838,AR,19092
Villa Nueva,-32.43289,-63.24811,AR,16841
Villa María,-32.40751,-63.24016,AR,92453
Villa Dolores,-31.94504,-65.19025,AR,28009
Villa Constitución,-33.22795,-60.32994,AR,44271
Villa Carlos Paz,-31.41830,-64.49008,AR,69451
Villa Ángela,-27.57679,-60.71114,AR,43511
Villa Allende,-31.29368,-64.29770,AR,21683
Viedma,-40.81519,-63.00040,AR,48940
Victoria,-32.61841,-60.15478,AR,25139
Vera,-29.45986,-60.21315,AR,19797
Venado Tuerto,-33.74585,-61.96711,AR,72340
Veinticinco de Mayo,-35.43247,-60.17156,AR,24668
Ushuaia,-54.81084,-68.31591,AR,56825
Unquillo,-31.23717,-64.31176,AR,15369
Tres Isletas,-26.34067,-60.43207,AR,24747
Tres Arroyos,-38.37694,-60.27563,AR,47136
Trelew,-43.24895,-65.30505,AR,97915
Termas de Río Hondo,-27.49362,-64.85972,AR,27838
Tartagal,-22.51682,-63.80560,AR,60819
Tafí Viejo,-26.73330,-65.26146,AR,48459
Sunchales,-30.94478,-61.55970,AR,18757
Santo Tomé,-31.66274,-60.76530,AR,59072
Santiago del Estero,-27.80047,-64.26285,AR,252192
Santa Rosa,-36.61617,-64.28991,AR,102860
Santa Lucía,-31.54055,-68.49794,AR,43565
Santa Fe,-31.64881,-60.70868,AR,391164
San Salvador de Jujuy,-24.19280,-65.29342,AR,257970
San Ramón de la Nueva Orán,-23.13705,-64.32426,AR,74059
San Rafael,-34.61531,-68.33238,AR,118009
San Pedro de Jujuy,-24.23127,-64.86614,AR,58430
San Nicolás de los Arroyos,-33.33425,-60.21080,AR,134217
San Miguel de Tucumán,-26.81601,-65.21051,AR,548866
San Martín de los Andes,-40.15789,-71.35337,AR,23519
San Martín,-33.08338,-68.47312,AR,82549
San Luis,-33.29140,-66.32467,AR,169947
San Justo,-30.78991,-60.59276,AR,21809
San Juan,-31.53726,-68.52568,AR,109123
San José de Jáchal,-30.24162,-68.74662,AR,21018
San Jorge,-31.89706,-61.85993,AR,16873
San Francisco,-31.42497,-62.08404,AR,59062
Catamarca,-28.46957,-65.78524,AR,159139
San Antonio Oeste,-40.73193,-64.94769,AR,16966
Salto,-34.29175,-60.25450,AR,40157
Salta,-24.80645,-65.41999,AR,520683
Rufino,-34.26237,-62.71128,AR,18361
Rosario,-32.94682,-60.63932,AR,948312
Río Tercero,-32.17675,-64.11295,AR,53389
Río Segundo,-31.65010,-63.91165,AR,18155
Río Grande,-53.78773,-67.70975,AR,52681
Río Gallegos,-51.62530,-69.25229,AR,95796
Río Cuarto,-33.13044,-64.35272,AR,157010
Río Colorado,-38.99081,-64.09574,AR,16132
Río Ceballos,-31.16970,-64.31750,AR,16632
Rawson,-43.30031,-65.10564,AR,26335
Rafaela,-31.25285,-61.49078,AR,88713
Quitilipi,-26.87080,-60.21537,AR,32083
Punta Alta,-38.88050,-62.07503,AR,57209
Puerto Madryn,-42.76848,-65.03827,AR,64555
Profesor Salvador Mazza,-22.04897,-63.69075,AR,25000
Presidencia Roque Sáenz Peña,-26.79095,-60.44132,AR,81879
Pocito,-31.68333,-68.58333,AR,40969
Plottier,-38.96667,-68.23333,AR,25186
Pergamino,-33.89101,-60.57462,AR,91399
Pérez,-32.99835,-60.76791,AR,24436
Pehuajó,-35.81081,-61.89897,AR,44783
Paraná,-31.73271,-60.52897,AR,247139
Palpalá,-24.25798,-65.21358,AR,48199
Olavarría,-36.89384,-60.32319,AR,89721
Nueve de Julio,-35.44394,-60.88463,AR,34718
Neuquén,-38.95078,-68.05920,AR,231198
Morteros,-30.71066,-62.00714,AR,15129
Monteros,-27.16825,-65.49892,AR,23771
Mendoza,-32.88946,-68.84582,AR,114893
Marcos Juárez,-32.69780,-62.10672,AR,24226
Machagai,-26.92617,-60.04852,AR,28070
Lincoln,-34.86819,-61.52929,AR,41808
Libertador General San Martín,-23.81305,-64.79353,AR,49267
Las Breñas,-27.08819,-61.08217,AR,26955
La Rioja,-29.41328,-66.85637,AR,178872
La Falda,-31.09321,-64.48448,AR,15112
La Calera,-31.34582,-64.33849,AR,24796
Laboulaye,-34.12688,-63.39083,AR,19908
Junín,-34.59391,-60.94644,AR,87509
Joaquín V. González,-25.11364,-64.12628,AR,19185
Jesús María,-30.98153,-64.09424,AR,26825
Granadero Baigorria,-32.85683,-60.71754,AR,32427
Gobernador Gálvez,-33.03016,-60.64045,AR,74650
General Villegas,-35.03264,-63.01484,AR,16270
General Roca,-39.03333,-67.58333,AR,73212
General Pinedo,-27.32534,-61.28101,AR,15741
General Pico,-35.65930,-63.75787,AR,57029
General Mosconi,-22.59617,-63.81100,AR,19811
Gálvez,-32.02957,-61.22097,AR,18374
Firmat,-33.45937,-61.48320,AR,18294
Famaillá,-27.05452,-65.40189,AR,30951
Esquel,-42.91147,-71.31947,AR,28486
Esperanza,-31.44957,-60.93153,AR,35885
Embarcación,-23.21003,-64.09965,AR,23961
Embalse,-32.20681,-64.40064,AR,15900
El Bolsón,-41.96051,-71.53336,AR,15537
Diamante,-32.06710,-60.64267,AR,19545
Deán Funes,-30.42498,-64.35274,AR,20164
Cutral-Có,-38.93424,-69.23052,AR,47380
Cruz del Eje,-30.72644,-64.80387,AR,28166
Crespo,-32.03077,-60.30619,AR,18296
Cosquín,-31.24525,-64.46574,AR,19070
Coronel Suárez,-37.45859,-61.93294,AR,27000
Coronda,-31.97365,-60.91935,AR,16975
Córdoba,-31.40648,-64.18853,AR,2106734
Comodoro Rivadavia,-45.86256,-67.49400,AR,140850
Cipolletti,-38.93392,-67.99032,AR,75078
Cinco Saltos,-38.82225,-68.06293,AR,19819
Chivilcoy,-34.89690,-60.01909,AR,54514
Chimbas,-31.49313,-68.53263,AR,73829
Chilecito,-29.16163,-67.49934,AR,42248
Charata,-27.21787,-61.18738,AR,27813
Chacabuco,-34.64203,-60.47124,AR,34587
Centenario,-38.82955,-68.13180,AR,28956
Caucete,-31.65150,-68.28216,AR,33609
Catriel,-37.87552,-67.79451,AR,15169
Juan José Castelli,-25.94660,-60.62008,AR,36588
Casilda,-33.04459,-61.16423,AR,32002
Carmen de Patagones,-40.80255,-62.98349,AR,20533
Carcarañá,-32.85704,-61.15114,AR,15619
Capitán Bermúdez,-32.82262,-60.71852,AR,27060
Cañada de Gómez,-32.82033,-61.39513,AR,36000
Caleta Olivia,-46.44785,-67.52274,AR,36077
Bell Ville,-32.63021,-62.68883,AR,35105
Bella Vista,-27.03424,-65.30196,AR,15126
Bahía Blanca,-38.71760,-62.26545,AR,299101
Arroyo Seco,-33.15365,-60.51168,AR,20620
Arroyito,-31.41917,-63.05084,AR,19577
Arrecifes,-34.06306,-60.10261,AR,26400
Añatuya,-28.46020,-62.83354,AR,20261
Alta Gracia,-31.64978,-64.42972,AR,40384
Allen,-38.97736,-67.82714,AR,26083
Alderetes,-26.81787,-65.14202,AR,38466
Albardón,-31.43722,-68.52556,AR,20413
Aimogasta,-28.56003,-66.80737,AR,16625
Aguilares,-27.43150,-65.61465,AR,32494
Balvanera,-34.61032,-58.39766,AR,152198
Villa Santa Rita,-34.61082,-58.48100,AR,34000
Villa Mercedes,-33.67571,-65.45783,AR,96781
San Miguel,-34.54335,-58.71229,AR,168762
San Carlos de Bariloche,-41.14557,-71.30822,AR,95394
Adrogué,-34.80041,-58.38384,AR,28265
Ingeniero Pablo Nogués,-34.47775,-58.70652,AR,38470
Villa Sarmiento,-34.63364,-58.57047,AR,17481
José C. Paz,-34.51541,-58.76813,AR,230208
Pago Pago,-14.27806,-170.70250,AS,11500
Döbling,48.25000,16.33333,AT,75418
Wolfsberg,46.84056,14.84417,AT,25035
Wilten,47.25829,11.38808,AT,18142
Wiener Neustadt,47.80485,16.23196,AT,44820
Vienna,48.20849,16.37208,AT,1691468
Wetzelsdorf,47.05293,15.39923,AT,15687
Wels,48.16667,14.03333,AT,16857
Villach,46.61028,13.85583,AT,58882
Traun,48.22086,14.23833,AT,25345
Telfs,47.30707,11.06817,AT,15229
Straßgang,47.03333,15.40000,AT,16268
Stockerau,48.38333,16.21667,AT,16292
Steyr,48.04274,14.42127,AT,38331
Simmering,48.18333,16.43333,AT,101420
Sankt Pölten,48.20762,15.63725,AT,21911
Sankt Peter,47.05000,15.46667,AT,15187
Sankt Peter,46.62978,14.34016,AT,20320
Sankt Martin,46.61667,14.28333,AT,20000
Salzburg,47.79941,13.04399,AT,157245
Saalfelden am Steinernen Meer,47.42681,12.84800,AT,16790
Pradl,47.26539,11.41520,AT,32588
Perchtoldsdorf,48.11935,16.26607,AT,15047
Ottakring,48.21667,16.30000,AT,104627
Mödling,48.08605,16.28921,AT,20555
Meidling,48.16667,16.33333,AT,97624
Lustenau,47.42642,9.65851,AT,22821
Linz,48.30639,14.28611,AT,204846
Klosterneuburg,48.30521,16.32522,AT,15614
Klagenfurt am Wörthersee,46.62472,14.30528,AT,100316
Innsbruck,47.26266,11.39454,AT,132493
Innere Stadt,48.20906,16.37135,AT,16450
Penzing,48.20000,16.26667,AT,98176
Hötting,47.26815,11.36868,AT,35043
Hohenems,47.36121,9.68694,AT,16317
Hietzing,48.18623,16.29650,AT,54265
Hernals,48.22544,16.30871,AT,57546
Graz,47.06733,15.44197,AT,303270
Fünfhaus,48.19596,16.31830,AT,76396
Floridsdorf,48.25000,16.40000,AT,162779
Feldkirch,47.23645,9.59734,AT,33420
Essling,48.21289,16.52442,AT,21200
Eggenberg,47.07000,15.39871,AT,20511
Dornbirn,47.41427,9.74195,AT,49278
Bregenz,47.50311,9.74710,AT,29806
Bludenz,47.15476,9.82255,AT,15102
Baden,48.00543,16.23264,AT,26286
Aspern,48.21806,16.48306,AT,50687
Amstetten,48.12290,14.87206,AT,15559
Favoriten,48.16116,16.38233,AT,201882
Donaustadt,48.23330,16.46002,AT,187007
Jakomini,47.05441,15.44984,AT,32912
Lend,47.08256,15.41589,AT,31147
Geidorf,47.08393,15.44400,AT,24767
Sankt Leonhard,47.06924,15.45784,AT,15853
Andritz,47.11387,15.42348,AT,19020
Gries,47.06236,15.42421,AT,29363
